Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24 
(50kW and above) [Note 14]",Jan-25 (50kW and above),Apr-25 (50kW and above),Jul-25 (50kW and above)
E09000029,Sutton,6,6,6,6,6,7,10,10,10,13,13,18,18,18,18,19,20,21,32,33,34,41,40,45
E09000031,Waltham Forest,1,1,2,2,4,4,7,8,8,8,13,13,13,13,14,15,14,19,19,23,23,25,24,36
E12000008,South East,469,488,514,532,573,636,703,711,760,794,835,880,947,978,1132,"1,255","1,276","1,410","1,597","1,670","1,825","2,011","2,165","2,292"
E06000036,Bracknell Forest,1,1,1,1,1,1,1,1,2,2,2,2,3,2,3,2,3,5,7,7,7,14,16,27
E06000043,Brighton and Hove,1,1,1,1,3,2,4,10,13,13,17,17,18,16,17,16,17,15,19,20,62,40,21,22
E06000046,Isle of Wight,2,3,3,3,2,2,2,3,3,3,3,5,6,6,43,11,13,13,13,13,14,16,16,17
E06000035,Medway,5,5,6,6,6,5,7,7,6,5,7,7,7,8,8,11,9,8,61,59,62,62,62,68
E06000042,Milton Keynes,88,88,89,89,93,114,116,117,123,121,129,108,110,118,8,151,144,144,167,171,192,227,236,246
E06000044,Portsmouth,2,2,2,2,2,2,3,5,5,5,5,5,5,7,131,7,7,12,13,13,19,27,29,28
E06000038,Reading,11,6,7,7,8,8,8,10,10,11,9,9,21,20,7,21,26,29,31,31,30,31,31,36
E06000039,Slough,13,21,21,21,21,29,30,31,31,35,36,36,36,35,23,52,56,40,45,47,51,26,26,34
E06000045,Southampton,3,3,4,4,5,5,6,5,10,10,10,12,12,12,35,11,11,10,14,18,20,22,22,21
E06000037,West Berkshire,28,28,29,29,29,29,31,34,36,36,37,37,40,52,12,71,80,87,104,101,87,97,112,119
E06000040,Windsor and Maidenhead,1,1,1,1,1,1,1,2,3,3,3,3,3,3,64,3,6,6,8,9,9,10,11,11
E06000041,Wokingham,27,31,31,31,32,34,35,35,35,35,35,36,38,38,3,43,44,46,49,49,49,49,51,52
E06000060,Buckinghamshire,16,17,22,22,25,27,33,33,33,35,36,36,42,41,41,51,44,47,52,66,69,69,73,79
E10000011,East Sussex,16,17,17,18,19,18,19,21,21,27,27,25,26,34,37,41,45,49,50,65,64,65,66,69
E07000061,Eastbourne,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,12,12,14,15,16,15,15,15,15
E07000062,Hastings,4,4,4,4,5,4,4,4,4,4,4,4,4,12,13,14,14,13,12,12,12,12,12,12
E07000063,Lewes,3,4,4,5,5,5,5,5,5,5,5,3,3,3,3,2,2,2,3,10,9,9,9,9
E07000064,Rother,1,1,1,1,1,1,1,2,2,8,8,8,8,8,8,8,8,9,9,15,15,14,16,17
E07000065,Wealden,3,3,3,3,3,3,4,5,5,5,5,5,6,6,7,5,9,11,11,12,13,15,14,16
E10000014,Hampshire,93,92,100,104,107,109,113,108,122,126,129,150,159,161,171,175,179,198,223,235,283,331,393,426
E07000084,Basingstoke and Deane,9,7,7,8,7,9,11,11,15,15,17,17,18,18,20,22,21,21,24,21,27,49,48,49
E07000085,East Hampshire,15,15,15,16,16,16,16,16,16,16,16,16,16,16,15,17,17,17,18,21,19,21,22,26
E07000086,Eastleigh,2,2,2,2,3,3,3,3,2,2,2,3,6,6,8,7,7,7,9,8,14,16,17,19
E07000087,Fareham,6,6,6,6,6,6,6,6,7,7,7,9,9,9,10,9,9,9,11,15,16,15,19,19
E07000088,Gosport,3,3,3,3,3,3,3,3,3,5,5,5,5,5,6,6,6,6,6,8,14,12,13,28
E07000089,Hart,13,15,19,19,19,19,19,19,20,20,18,20,20,20,20,20,21,25,33,33,57,65,67,70
E07000090,Havant,14,14,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,21,21,21,21,26,25,25
E07000091,New Forest,3,3,3,3,5,5,5,4,4,5,7,7,7,8,11,13,19,22,20,19,25,34,48,53
E07000092,Rushmoor,4,4,4,4,5,5,6,6,10,11,11,14,14,15,17,17,17,17,18,20,18,16,15,14
E07000093,Test Valley,9,8,10,11,11,11,11,9,10,10,10,11,11,11,11,11,15,20,24,32,34,37,34,37
E07000094,Winchester,15,15,15,16,16,16,17,15,17,17,18,30,35,35,35,35,29,33,39,37,38,40,85,86
E10000016,Kent,64,67,69,71,80,99,111,108,118,126,142,147,159,161,202,220,213,236,250,257,276,328,405,423
E07000105,Ashford,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,10,7,7,8,8,16,19,21,26
E07000106,Canterbury,1,1,2,2,3,3,4,3,4,4,4,6,6,5,19,12,13,20,22,25,25,22,22,23
E07000107,Dartford,9,11,11,11,11,24,30,26,26,28,40,40,40,40,40,40,42,40,42,42,44,43,61,62
E07000108,Dover,2,2,2,2,2,2,2,5,5,4,6,6,14,13,23,25,26,27,27,27,34,35,51,50
E07000112,Folkestone and Hythe,15,15,15,15,15,16,20,20,20,20,20,21,20,19,19,24,20,21,21,20,25,26,43,47
E07000109,Gravesham,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,7,7,7,11,11,12
E07000110,Maidstone,15,16,17,17,22,22,22,22,22,22,22,24,25,25,26,32,27,31,33,34,32,51,58,53
E07000111,Sevenoaks,5,5,5,5,5,5,5,5,13,13,13,13,13,14,15,15,16,16,19,20,18,17,17,19
E07000113,Swale,1,1,1,1,3,3,3,3,3,5,7,7,7,10,18,18,16,18,17,17,16,32,44,53
E07000114,Thanet,4,4,4,4,5,7,7,7,7,7,7,7,9,9,9,10,10,17,16,22,22,24,24,25
E07000115,Tonbridge and Malling,5,5,5,7,7,10,11,10,10,13,13,13,13,13,14,17,19,20,20,19,19,22,26,23
E07000116,Tunbridge Wells,3,3,3,3,3,3,3,3,4,4,4,4,6,7,9,11,11,13,18,16,18,26,27,30
E10000025,Oxfordshire,36,38,38,41,44,46,72,73,73,75,74,91,104,106,138,149,158,170,179,183,200,217,203,204
E07000177,Cherwell,6,7,7,7,9,10,30,30,30,30,30,33,33,33,61,67,77,78,87,88,91,100,88,88
E07000178,Oxford,2,4,4,4,5,5,5,5,5,7,7,21,32,32,34,35,35,38,39,42,41,42,37,34
E07000179,South Oxfordshire,20,20,20,20,20,21,21,21,21,21,21,21,21,22,22,26,25,26,26,26,29,29,30,31
E07000180,Vale of White Horse,4,2,2,5,5,5,11,11,11,11,12,12,14,15,15,17,17,18,17,17,23,28,29,31
E07000181,West Oxfordshire,4,5,5,5,5,5,5,6,6,6,4,4,4,4,6,4,4,10,10,10,16,18,19,20
E10000030,Surrey,41,44,49,53,63,66,68,67,71,73,79,95,99,99,119,148,145,166,167,177,175,214,214,226
E07000207,Elmbridge,14,14,14,16,21,21,22,22,22,22,22,22,23,23,23,25,25,39,36,37,43,57,57,61
E07000208,Epsom and Ewell,0,0,0,0,1,1,1,1,2,2,2,2,2,2,5,6,7,7,8,7,7,8,9,7
E07000209,Guildford,2,2,2,2,3,4,4,4,4,5,8,18,18,18,30,32,30,29,29,32,22,38,31,36
E07000210,Mole Valley,1,2,2,2,2,4,4,4,4,4,4,4,4,4,5,13,14,14,13,20,20,24,25,26
E07000211,Reigate and Banstead,4,4,4,4,4,4,4,4,4,4,4,6,8,8,10,13,11,11,9,10,12,12,12,13
E07000212,Runnymede,4,4,4,4,4,4,4,4,4,4,4,4,5,5,7,14,15,17,16,16,14,15,15,15
E07000213,Spelthorne,3,3,6,7,7,7,7,6,6,6,8,9,9,9,9,10,8,11,11,11,12,12,14,15
E07000214,Surrey Heath,4,5,7,8,8,8,8,9,9,9,9,10,10,10,8,10,10,10,13,14,14,15,16,17
E07000215,Tandridge,6,6,6,6,8,8,8,6,8,9,9,9,9,9,10,11,11,13,17,13,13,14,14,15
E07000216,Waverley,3,4,4,4,4,4,5,6,7,7,8,10,10,10,10,12,12,13,13,15,15,16,16,16
E07000217,Woking,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,5,5
E10000032,West Sussex,21,23,24,28,32,39,43,41,45,53,55,59,59,59,70,72,76,129,145,149,156,166,178,184
E07000223,Adur,0,1,2,3,3,3,3,3,3,3,3,3,4,4,5,4,4,9,9,9,9,16,15,15
E07000224,Arun,1,1,1,1,2,2,4,4,4,4,5,7,7,7,8,8,11,11,14,17,18,19,16,17
E07000225,Chichester,4,4,3,6,7,9,9,8,11,11,12,12,12,12,12,13,12,14,13,13,13,13,19,19
E07000226,Crawley,5,5,6,6,6,11,14,14,14,21,21,21,20,19,19,19,19,40,44,44,52,53,55,59
E07000227,Horsham,3,4,4,4,6,6,5,4,5,4,4,6,6,7,9,7,9,12,14,14,13,13,16,16
E07000228,Mid Sussex,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,12,12,33,40,41,40,41,42,43
E07000229,Worthing,3,3,3,3,3,3,3,3,3,5,5,5,5,5,6,9,9,10,11,11,11,11,15,15
E12000009,South West,216,248,272,278,306,344,359,375,422,445,469,512,553,605,675,756,812,969,"1,154","1,296","1,378","1,448","1,570","1,672"
E06000022,Bath and North East Somerset,1,1,3,3,3,3,3,3,3,3,3,6,6,8,11,20,19,19,21,21,18,18,18,20
E06000058,"Bournemouth, Christchurch and Poole",14,18,19,19,21,23,22,23,24,27,32,38,41,48,44,47,63,71,67,77,85,88,104,97
E06000023,"Bristol, City of",14,16,19,20,19,18,19,23,26,32,32,31,34,37,40,42,41,44,51,54,58,74,70,79
E06000052,Cornwall,27,28,27,27,28,33,34,34,44,45,48,50,53,56,68,73,82,120,152,159,162,163,159,160
E06000059,Dorset,8,11,12,12,14,15,17,19,21,23,27,26,29,34,38,42,56,58,72,78,85,88,94,106
E06000053,Isles of Scilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000024,North Somerset,17,19,20,23,26,26,26,28,28,29,30,31,32,33,32,33,34,38,44,44,45,43,47,49
E06000026,Plymouth,4,7,7,7,8,8,8,9,9,9,8,8,8,8,11,11,10,29,33,37,69,86,97,104
E06000066,Somerset (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],62,69,77,96,94,112,112,120,127
E06000025,South Gloucestershire,14,18,24,23,24,28,29,41,53,55,62,63,73,75,80,87,90,97,150,150,153,133,154,143
E06000030,Swindon,5,7,10,10,11,11,13,12,12,16,20,21,23,23,24,30,36,40,40,44,45,49,52,72
E06000027,Torbay,2,2,3,3,5,5,5,5,5,5,5,7,7,7,7,8,11,12,14,14,14,22,24,25
E06000054,Wiltshire,15,16,16,16,17,37,39,39,44,45,48,51,49,65,74,78,90,96,111,126,139,144,161,184
E10000008,Devon,40,44,48,48,58,62,65,63,70,69,70,87,97,103,128,150,138,195,233,258,250,269,280,306
E07000040,East Devon,8,8,8,8,10,11,13,13,17,17,17,17,17,17,21,26,28,42,40,50,40,50,46,59
E07000041,Exeter,7,8,10,10,10,10,10,9,10,9,10,24,28,27,43,41,20,71,77,90,91,101,101,106
E07000042,Mid Devon,8,8,8,8,12,12,13,12,13,13,13,15,19,19,19,19,19,19,19,19,21,23,26,27
E07000043,North Devon,3,4,6,6,6,6,6,6,7,7,7,7,9,14,17,20,20,20,20,20,20,26,34,41
E07000044,South Hams,1,1,1,1,1,2,2,2,2,2,2,2,2,4,5,3,1,3,3,5,6,13,13,13
E07000045,Teignbridge,1,1,1,1,3,5,5,5,5,5,5,5,5,5,6,23,30,30,48,48,47,30,33,35
E07000046,Torridge,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,7,6,4
E07000047,West Devon,6,8,8,8,10,10,10,10,10,10,10,11,11,11,11,11,13,3,19,19,19,19,21,21
E10000013,Gloucestershire,42,44,45,46,50,51,51,47,48,49,43,50,56,58,62,73,73,73,70,140,143,159,190,200
E07000078,Cheltenham,3,3,3,3,5,5,7,6,6,6,5,5,5,5,6,12,12,12,11,13,13,14,18,23
E07000079,Cotswold,4,4,4,4,5,5,5,3,3,3,3,3,7,8,8,11,11,9,9,9,12,14,18,20
E07000080,Forest of Dean,1,2,2,2,3,4,4,4,3,3,3,3,4,4,6,6,7,7,7,15,13,13,12,13
E07000081,Gloucester,6,7,8,9,9,9,9,9,11,11,11,12,13,13,13,13,12,12,12,13,17,17,17,18
E07000082,Stroud,25,25,25,25,25,25,23,23,23,23,18,22,22,24,24,25,25,25,23,70,68,88,112,111
E07000083,Tewkesbury,3,3,3,3,3,3,3,2,2,3,3,5,5,4,5,6,6,8,8,20,20,13,13,15
E10000027,Somerset (abolished April 2023),13,17,19,21,22,24,28,29,35,38,41,43,45,50,56,[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000187,Mendip (abolished April 2023),4,5,5,5,5,6,6,6,6,8,10,10,12,12,12,[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000188,Sedgemoor (abolished April 2023),5,5,6,6,6,6,7,7,7,7,5,7,7,12,15,[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000246,Somerset West and Taunton (abolished April 2023),2,2,2,2,2,2,2,2,8,9,12,12,12,11,13,[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000189,South Somerset (abolished April 2023),2,5,6,8,9,10,13,14,14,14,14,14,14,15,16,[x],[x],[x],[x],[x],[x],[x],[x],[x]
W92000004,Wales,58,71,79,85,93,102,114,141,160,169,185,213,223,283,350,379,419,440,555,587,618,636,691,753
W06000001,Isle of Anglesey,3,3,4,4,4,4,4,4,4,4,4,4,4,9,10,10,9,9,10,10,10,8,9,23
W06000002,Gwynedd,0,2,2,3,3,3,3,3,3,4,5,7,7,5,7,12,13,14,17,19,21,20,19,28
W06000003,Conwy,0,0,1,4,4,4,4,4,4,4,4,4,3,3,3,2,5,5,5,5,5,5,5,7
W06000004,Denbighshire,6,7,7,8,6,8,8,8,8,8,8,18,18,20,22,29,34,35,39,40,42,36,34,34
W06000005,Flintshire,3,3,3,3,4,4,4,12,12,12,12,14,14,13,13,15,15,15,23,46,43,32,41,41
W06000006,Wrexham,2,2,2,2,2,2,6,6,8,7,7,7,8,10,13,15,15,14,13,13,11,20,26,28
W06000023,Powys,1,1,1,1,2,2,3,3,3,3,3,3,6,14,11,15,15,19,21,23,28,29,29,29
W06000008,Ceredigion,2,2,3,3,3,3,4,4,10,10,11,11,11,11,12,24,25,25,25,30,26,27,26,29
W06000009,Pembrokeshire,2,2,2,2,2,5,5,5,5,5,5,7,9,21,16,21,22,28,38,38,40,41,41,41
W06000010,Carmarthenshire,4,6,6,6,7,7,7,8,8,10,11,16,16,26,49,42,43,53,70,72,77,71,83,82
W06000011,Swansea,4,4,4,4,7,7,7,6,9,9,15,16,16,21,40,23,23,21,56,60,47,49,60,71
W06000012,Neath Port Talbot,1,1,1,1,2,4,5,6,6,6,6,8,8,10,15,15,14,14,14,14,12,16,12,11
W06000013,Bridgend,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,19,19,19,26,28,28,28,36,48
W06000014,The Vale of Glamorgan,2,2,3,3,4,4,5,5,10,10,14,14,14,14,14,16,21,15,23,17,22,30,30,29
W06000015,Cardiff,10,10,12,12,12,12,14,30,31,31,31,33,36,36,39,37,45,61,65,66,82,76,75,77
W06000016,Rhondda Cynon Taf,0,0,0,0,0,0,0,1,1,1,2,2,3,4,7,8,9,8,12,13,16,23,34,37
W06000024,Merthyr Tydfil,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,6,3,5,5,7,6,6,5
W06000018,Caerphilly,0,2,3,4,5,5,6,7,7,7,7,7,8,10,8,9,13,9,13,10,14,14,14,15
W06000019,Blaenau Gwent,0,1,1,1,1,1,1,1,1,1,1,3,3,6,3,3,7,5,8,5,8,11,11,13
W06000020,Torfaen,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,5,4,7,5,6,13,14,17
W06000021,Monmouthshire,2,3,3,3,4,4,4,3,4,4,4,4,4,7,7,21,17,17,18,18,19,23,25,29
W06000022,Newport,6,9,9,9,9,11,12,13,14,19,21,21,21,29,38,38,44,47,47,50,54,58,61,59
S92000003,Scotland,410,451,483,487,506,544,602,657,684,707,743,775,825,947,1007,1051,1032,"1,172","1,326","1,422","1,556","1,578","1,853","2,042"
S12000033,Aberdeen City,14,13,15,15,15,16,24,24,24,25,25,27,26,39,36,34,36,44,52,58,69,69,83,93
S12000034,Aberdeenshire,15,15,15,15,15,16,17,18,18,20,22,22,22,26,28,28,22,22,41,44,49,43,54,54
S12000041,Angus,12,12,15,16,16,17,23,25,24,24,25,26,22,27,27,27,29,30,39,38,36,40,37,39
S12000035,Argyll & Bute,13,13,16,17,18,18,20,20,20,20,21,21,21,26,25,24,18,26,27,28,31,33,34,37
S12000036,City of Edinburgh,17,18,18,15,14,14,22,24,24,26,28,29,55,63,73,79,85,87,89,91,92,103,126,146
S12000005,Clackmannanshire,1,1,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,6,6,9,6,5,5,5
S12000006,Dumfries & Galloway,24,24,26,26,28,28,30,31,32,32,32,32,32,36,38,43,40,47,71,73,97,97,96,99
S12000042,Dundee City,39,39,41,39,39,41,41,43,43,42,42,42,43,56,58,57,62,63,60,66,80,71,82,108
S12000008,East Ayrshire,9,12,16,16,16,16,17,17,17,18,18,18,18,19,18,19,18,19,21,27,21,25,38,39
S12000045,East Dunbartonshire,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,8,8,8,9,8,13,22
S12000010,East Lothian,11,10,15,15,17,19,19,23,23,24,24,27,28,27,28,29,29,40,41,42,44,41,40,34
S12000011,East Renfrewshire,6,6,6,6,8,6,7,7,7,7,8,8,7,8,9,8,7,14,22,22,22,14,14,20
S12000014,Falkirk,5,6,6,10,11,11,11,11,11,12,12,12,12,15,23,23,18,23,24,25,24,24,32,32
S12000047,Fife,15,15,15,15,15,15,16,17,18,19,19,21,26,27,27,26,32,37,37,45,58,65,79,81
S12000049,Glasgow City,18,22,23,23,24,24,24,24,24,34,49,53,60,70,67,75,78,84,99,100,108,142,215,256
S12000017,Highland,52,54,55,58,59,74,74,79,81,83,87,89,90,111,117,119,109,117,118,125,125,122,137,135
S12000018,Inverclyde,2,2,2,4,4,4,4,5,5,5,5,5,4,3,4,5,8,9,18,30,31,32,37,44
S12000019,Midlothian,7,8,8,8,8,8,10,12,12,12,13,13,13,17,17,17,16,19,22,21,21,28,27,27
S12000020,Moray,6,7,7,7,7,7,7,8,8,8,9,10,11,15,16,15,14,14,15,15,16,15,15,15
S12000013,Na h-Eileanan Siar,9,8,8,7,7,7,7,7,7,7,7,7,7,10,10,10,7,8,11,12,15,14,18,19
S12000021,North Ayrshire,10,11,11,12,12,15,18,18,18,18,18,18,16,20,21,22,19,21,21,30,33,33,40,53
S12000050,North Lanarkshire,16,30,30,30,33,38,47,57,70,72,74,76,73,72,79,88,96,108,126,122,125,119,134,143
S12000023,Orkney Islands,4,6,6,7,7,7,7,9,10,10,11,11,12,10,15,15,10,10,11,11,11,4,4,5
S12000048,Perth & Kinross,31,33,35,33,37,37,37,41,44,45,45,46,52,55,57,59,53,67,67,78,84,80,82,87
S12000038,Renfrewshire,12,13,15,15,16,16,18,21,21,21,21,21,23,27,36,37,32,35,34,44,46,45,68,88
S12000026,Scottish Borders,12,15,16,16,16,17,19,19,20,20,20,20,20,18,23,24,14,22,27,29,33,31,37,33
S12000027,Shetland Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,5,6,6,6,6,5,8,9
S12000028,South Ayrshire,7,8,7,7,7,10,12,12,12,12,12,15,16,18,18,17,18,19,19,19,25,31,38,40
S12000029,South Lanarkshire,18,18,20,20,20,24,31,43,45,45,47,55,62,67,73,82,76,80,93,99,131,125,122,132
S12000030,Stirling,14,18,19,18,18,18,18,20,24,23,24,24,25,27,26,28,27,29,29,28,40,37,46,58
S12000039,West Dunbartonshire,2,4,4,4,4,4,4,4,4,4,6,6,6,7,7,9,23,26,33,38,29,24,34,36
S12000040,West Lothian,4,5,5,5,7,8,9,9,9,10,10,11,13,17,17,18,23,32,39,39,39,53,58,53
N92000002,Northern Ireland,19,19,19,19,22,20,20,21,21,22,25,21,22,26,37,57,55,78,133,151,153,164,190,188
N09000001,Antrim and Newtownabbey,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,6,4,5,12,14,15,15,18,17
N09000011,Ards and North Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,14,15,16,16,16,21
N09000002,"Armagh City, Banbridge and Craigavon",1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,3,5,6,10,7,7,20,19
N09000003,Belfast,5,5,5,5,5,5,5,5,5,5,7,5,6,6,13,18,17,20,39,41,42,40,39,38
N09000004,Causeway Coast and Glens,1,1,1,1,4,1,1,1,1,1,2,1,1,2,5,4,5,12,15,15,16,22,17,16
N09000005,Derry City and Strabane,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,5,6,6,6,6,7,8
N09000006,Fermanagh and Omagh,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,5,5,10,8,9,9,8
N09000007,Lisburn and Castlereagh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,8,8,8,8,17,21
N09000008,Mid and East Antrim,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,9,9,10,13,14,18,14
N09000009,Mid Ulster,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,7,8,9,13,14,13
N09000010,"Newry, Mourne and Down",2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,1,12,14,13,14,15,13
